date;reunion;course;hippo_code;hippo_nom;nom;numPmu;rapport;age;sexe;race;statut;oeilleres;deferre;indicateurInedit;musique;nombreCourses;nombreVictoires;nombrePlaces;nombrePlacesSecond;nombrePlacesTroisieme;ordreArrivee;distance;handicapDistance;gain_carriere;gain_victoires;gain_places;gain_annee_en_cours;gain_annee_precedente;placeCorde;handicapValeur;handicapPoids
01/01/2016;3;2;CAG;CAGNES/MER;COCODY DU BANCO;1;18.0;4;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(15)AhAh;2;0;0;0;0;;3800;0;0;0;0;0;0;0;0.0;700
01/01/2016;3;2;CAG;CAGNES/MER;CACAO D'OLIVATE;2;5.4;4;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(15)As1hAh5h7h5h(14)5p0p;6;1;2;0;0;4.0;3800;0;1201500;1008000;193500;0;1201500;0;0.0;700
01/01/2016;3;2;CAG;CAGNES/MER;AKKO DE LA SELLE;3;46.0;4;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(15)Ah9h;2;0;0;0;0;;3800;0;0;0;0;0;0;0;0.0;680
01/01/2016;3;2;CAG;CAGNES/MER;TENGARA;4;3.3;4;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(15)4sAs5s8h3h6h2h4h3h;10;0;6;1;2;;3800;0;2834500;0;2834500;0;2834500;0;0.0;680
01/01/2016;3;2;CAG;CAGNES/MER;ESTRALINE;5;7.8;4;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(15)2h8h5h8h7h9h1h9p5p;7;1;2;1;0;1.0;3800;0;1063500;528000;535500;0;1063500;0;0.0;680
01/01/2016;3;2;CAG;CAGNES/MER;LIZETE;6;4.2;4;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(15)5s3s6hTh3h6h3hAh5h;9;0;5;0;3;;3800;0;1486500;0;1486500;0;1486500;0;0.0;680
01/01/2016;3;2;CAG;CAGNES/MER;QUINTE FLUSH;7;29.0;4;FEMELLES;PUR-SANG;PARTANT;OEILLERES_AUSTRALIENNES;0;False;(15)As5h6h6h2h4h4h8pAh;10;0;4;1;0;5.0;3800;0;606500;0;606500;0;606500;0;0.0;660
01/01/2016;3;2;CAG;CAGNES/MER;NAIADITIQUE;8;37.0;4;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(15)AsAsTh6h9h8h;6;0;0;0;0;;3800;0;0;0;0;0;0;0;0.0;660
01/01/2016;3;2;CAG;CAGNES/MER;MAYBE RIVER;9;6.1;4;FEMELLES;PUR-SANG;PARTANT;OEILLERES_CLASSIQUE;0;False;(15)5sAs2h0p0h5p4p9p1p;4;0;2;1;0;2.0;3800;0;633000;0;633000;0;633000;0;0.0;660
01/01/2016;3;2;CAG;CAGNES/MER;PETITE GRAVURE;10;21.0;4;FEMELLES;PUR-SANG;PARTANT;OEILLERES_AUSTRALIENNES;0;False;(15)As6h0h6s4s5s3h3h7h;15;0;7;0;3;3.0;3800;0;1701000;0;1701000;0;1701000;0;0.0;660
