date;reunion;course;hippo_code;hippo_nom;nom;numPmu;rapport;age;sexe;race;statut;oeilleres;deferre;indicateurInedit;musique;nombreCourses;nombreVictoires;nombrePlaces;nombrePlacesSecond;nombrePlacesTroisieme;ordreArrivee;distance;handicapDistance;gain_carriere;gain_victoires;gain_places;gain_annee_en_cours;gain_annee_precedente;placeCorde;handicapValeur;handicapPoids
2016-01-01;1;1;VIN;VINCENNES;BRAQUEUR DE BRAY;1;26.0;5;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;3aDmDmDa4mDaDa8a7m6a;31;1;12;0;3;;2700;2700;1870000;540000;1330000;1680000;190000;0;0;570
2016-01-01;1;1;VIN;VINCENNES;BLACK HOLE SUN;2;6.2;5;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS;False;5mDm4mDmDm3m(14)5m1m3m;12;1;5;0;2;;2700;2700;3178000;1530000;1648000;978000;2200000;0;0;570
2016-01-01;1;1;VIN;VINCENNES;BLUEBERRY DE COUET;3;8.0;5;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;1m6mDa0a1m5m3mDm(14)Da;19;2;8;2;1;6.0;2700;2700;3227000;1800000;1427000;2233000;994000;0;0;570
2016-01-01;1;1;VIN;VINCENNES;BOLIDE JIEL;4;7.4;5;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;5m4m2m0m4m7a3m3mDm4m;23;0;14;3;3;1.0;2700;2700;3684000;0;3684000;2794000;890000;0;0;550
2016-01-01;1;1;VIN;VINCENNES;BONCHAMP GEDE;5;19.0;5;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;0m6a7mDa4aDaDa8a7aDa;23;3;10;0;1;5.0;2700;2700;3700000;2250000;1450000;860000;2840000;0;0;570
2016-01-01;1;1;VIN;VINCENNES;BISTROT;6;29.0;5;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;0a8a4a3a9a6a3a4a7a6a;37;1;18;2;4;3.0;2700;2700;3707000;900000;2807000;1156000;2523000;0;0;550
2016-01-01;1;1;VIN;VINCENNES;BILBAO BOY;7;4.6;5;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;Dm5m7m0aDa2a1a1aDa7m;16;4;7;1;0;;2700;2700;3814000;2655000;1159000;2424000;1390000;0;0;550
2016-01-01;1;1;VIN;VINCENNES;BALOU DU PAOU;8;4.3;5;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS;False;Dm4mDa3a1m1m2m3mDm6a;26;2;15;2;3;2.0;2700;2700;3917000;1530000;2387000;2999000;918000;0;0;550
2016-01-01;1;1;VIN;VINCENNES;BLASON DU BOSQUET;9;4.9;5;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;8a8aDa0a0aDaDa7a1aAa;36;1;12;3;5;4.0;2700;2700;3957000;630000;3327000;1346000;2611000;0;0;570
2016-01-01;1;3;VIN;VINCENNES;AVRIL PECCAU;1;68.0;6;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;0a2aDa2aDa3a8a2aRaDa;39;3;17;3;3;;2700;2700;2831600;1184700;1445300;1624400;1005600;0;0;670
2016-01-01;1;3;VIN;VINCENNES;ADOUR;2;6.4;6;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;1mDa6a1m(14)Dm3m1mDm5m;20;3;9;0;2;;2700;2700;3115000;2340000;775000;1826000;1289000;0;0;670
2016-01-01;1;3;VIN;VINCENNES;ALADIN DE MESLAY;3;147.0;6;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;Dm2m0a0a6mDm(14)DmDm2m;29;1;12;2;1;;2700;2700;3593000;855000;2738000;492000;1935000;0;0;670
2016-01-01;1;3;VIN;VINCENNES;AMIGO LAND;4;16.0;6;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;1mDm1m8mDmDm6mDm3m6m;40;3;17;1;2;4.0;2700;2700;6827000;2745000;4082000;2133000;2855000;0;0;670
2016-01-01;1;3;VIN;VINCENNES;ADORABLE FOUTEAU;5;7.5;6;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;6mDm1m3m3m7mDa0a6m8m;28;1;23;5;7;1.0;2700;2700;7171000;1575000;5596000;2713000;4458000;0;0;670
