date;reunion;course;specialite;nom;rapport;numPmu;state;resultat_place;resultat_rapport;gain_brut;gain_net
2021-07-27;3;1;trot attele;DALTON NOA;2.5;1.0;place;0;0;0;0
2021-07-27;3;1;trot attele;CATSOUS;9.6;3.0;place;0;0;0;0
2021-07-27;3;1;trot attele;EMBLEME DE L'ITON;7.2;5.0;place;0;0;0;0
2021-07-27;3;1;trot attele;COMPLICE;10.0;7.0;place;0;0;0;0
2021-07-27;3;1;trot attele;EPEE D'HAUFOR;3.7;8.0;place;0;0;0;0
2021-07-27;3;3;trot attele;ICARE DU LOISIR;4.7;1.0;place;0;0;0;0
2021-07-27;3;4;trot attele;HAYASTAN DE ROSAN;13.0;1.0;place;0;0;0;0
2021-07-27;3;4;trot attele;HERA WIND;2.1;2.0;place;0;0;0;0
2021-07-27;3;4;trot attele;HALIZAROSA;6.4;3.0;place;0;0;0;0
2021-07-27;3;6;trot attele;GLORY MESLOISE;4.9;2.0;place;0;0;0;0
2021-07-27;3;6;trot attele;GAYA DE GESVRES;7.1;4.0;place;0;0;0;0
2021-07-27;3;6;trot attele;GABY DES MOYEUX;7.0;5.0;place;0;0;0;0
2021-07-27;3;6;trot attele;GERGOVIA THUYAS;8.1;6.0;place;0;0;0;0
2021-07-27;3;6;trot attele;GENEVE VOIRONS;3.2;7.0;place;0;0;0;0
2021-07-27;3;6;trot attele;FLEUR DU NORD;49.0;8.0;place;0;0;0;0
2021-07-27;3;6;trot attele;GEMILIANA;10.0;12.0;place;0;0;0;0
2021-07-27;3;5;trot attele;ETOILE DAIRPET;17.0;2.0;place;0;0;0;0
2021-07-27;3;5;trot attele;FADOUNA D'OCCAGNES;12.0;7.0;place;0;0;0;0
2021-07-27;3;5;trot attele;FILOU DE CHARDET;2.6;8.0;place;0;0;0;0
2021-07-27;3;5;trot attele;FUEGO DU MORTIER;4.6;9.0;place;0;0;0;0
2021-07-27;3;5;trot attele;EXTASE DU BOUFFEY;6.9;11.0;place;0;0;0;0
2021-07-27;3;7;trot attele;FLAG DE MARIONS;6.4;1.0;place;0;0;0;0
2021-07-27;3;7;trot attele;GALANT DE CELLAND;5.2;3.0;place;0;0;0;0
2021-07-27;3;7;trot attele;GUIGNOL DE CHARDET;3.0;5.0;place;0;0;0;0
2021-07-27;3;7;trot attele;GEORGES L'AVENTURE;7.7;6.0;place;0;0;0;0
2021-07-27;3;7;trot attele;FRICHTI;12.0;10.0;place;0;0;0;0
2021-07-27;5;1;trot attele;HALLEY DE MARS;9.3;1.0;place;0;0;0;0
2021-07-27;5;1;trot attele;HAUTAIN;2.7;3.0;place;0;0;0;0
2021-07-27;5;1;trot attele;HISTOIRE PIERJI;8.1;6.0;place;0;0;0;0
2021-07-27;5;1;trot attele;HURRICANE STEED;7.7;7.0;place;0;0;0;0
2021-07-27;5;1;trot attele;HIGHLANDER JAYF;13.0;10.0;place;0;0;0;0
2021-07-27;5;2;trot attele;FAVORABLE;5.3;1.0;place;0;0;0;0
2021-07-27;5;2;trot attele;EL SAMBA;6.5;4.0;place;0;0;0;0
2021-07-27;5;2;trot attele;FALBALA D'ESCRIT;12.0;5.0;place;0;0;0;0
2021-07-27;5;2;trot attele;FLEUR DE RAMBURES;9.7;7.0;place;0;0;0;0
2021-07-27;5;2;trot attele;EASYMEDE;8.5;12.0;place;0;0;0;0
2021-07-27;5;9;trot attele;DIVIN ANAXEL;13.0;3.0;place;0;0;0;0
2021-07-27;5;9;trot attele;FULL IRON;2.4;5.0;place;0;0;0;0
2021-07-27;5;9;trot attele;DOLLAR DE L'ITON;9.2;7.0;place;0;0;0;0
2021-07-27;5;9;trot attele;CALL BOY DANOVER;6.3;11.0;place;0;0;0;0
2021-07-27;5;4;trot attele;GOSPEL D'ARIANE;24.0;15.0;place;0;0;0;0
2021-07-27;5;4;trot attele;GAMIN D'ALJY;2.4;16.0;place;0;0;0;0
2021-07-27;5;7;trot attele;ENGALA DE LOU;7.8;3.0;place;0;0;0;0
2021-07-27;5;7;trot attele;DOMINO DE LARRE;4.1;4.0;place;0;0;0;0
2021-07-27;5;7;trot attele;EXCELEBRATION;17.0;13.0;place;0;0;0;0
2021-07-27;5;5;trot attele;HUGOLINE DU BISTON;4.6;8.0;place;0;0;0;0
2021-07-27;5;5;trot attele;HAITIAN FIGHT SONG;4.7;15.0;place;0;0;0;0
2021-07-27;5;5;trot attele;HISTORY MAJYC;4.0;16.0;place;0;0;0;0
2021-07-27;6;10;trot attele;VERY KRONOS;10.0;2.0;place;0;0;0;0
2021-07-27;6;10;trot attele;NIGHT BRODDE;26.0;3.0;place;0;0;0;0
2021-07-27;6;10;trot attele;UPSTATE FACE;26.0;4.0;place;0;0;0;0
2021-07-27;6;10;trot attele;CALLE CROWN;8.8;5.0;place;0;0;0;0
2021-07-27;6;10;trot attele;GARETH BOKO;8.8;6.0;place;0;0;0;0
2021-07-27;6;10;trot attele;ALRAJAH ONE;7.6;7.0;place;0;0;0;0
