;index_classifier;date;reunion;course;numPmu;place;nom;rapport;specialite;hippo_code
3;sgdclassifier;17/02/2023;1;3;4.0;1;GOTTA FEELING;11.0;trot attele;CAG
7;sgdclassifier;17/02/2023;1;3;8.0;1;GEODE DU CHERISAY;8.0;trot attele;CAG
26;sgdclassifier;17/02/2023;1;5;4.0;1;GAOTCHO JIEL;2.4;trot attele;CAG
33;sgdclassifier;17/02/2023;1;5;11.0;1;DESTRIER D'OR;16.0;trot attele;CAG
34;sgdclassifier;17/02/2023;1;5;12.0;1;DEZIO JOSSELYN;12.0;trot attele;CAG
6;kneighborsclassifier;17/02/2023;1;6;7.0;1;EMIR DE CHENU;10.0;trot monte;CAG
5;decisiontreeclassifier;17/02/2023;1;6;6.0;1;INGRID TURGOT;2.4;trot monte;CAG
5;adaboostclassifier;17/02/2023;1;6;6.0;1;INGRID TURGOT;2.4;trot monte;CAG
64;sgdclassifier;17/02/2023;1;7;5.0;1;KEROZEN;2.1;trot attele;CAG
54;sgdclassifier;17/02/2023;1;8;8.0;1;HONKY TONK BLUES;2.3;trot attele;CAG
12;kneighborsclassifier;17/02/2023;2;1;6.0;1;JAVRILLON;3.8;trot monte;GRA
78;sgdclassifier;17/02/2023;2;2;4.0;1;KEYLA GREVIR;16.0;trot attele;GRA
80;sgdclassifier;17/02/2023;2;2;6.0;1;KENTUCKY SAM;15.0;trot attele;GRA
82;sgdclassifier;17/02/2023;2;2;8.0;1;KAZAN BEACH;11.0;trot attele;GRA
23;sgdclassifier;17/02/2023;2;3;9.0;1;GOAL DE LA MORTRIE;5.3;trot monte;GRA
23;kneighborsclassifier;17/02/2023;2;3;9.0;1;GOAL DE LA MORTRIE;5.3;trot monte;GRA
25;decisiontreeclassifier;17/02/2023;2;3;11.0;1;IGOR DU PARC;2.5;trot monte;GRA
25;adaboostclassifier;17/02/2023;2;3;11.0;1;IGOR DU PARC;2.5;trot monte;GRA
91;sgdclassifier;17/02/2023;2;4;9.0;1;JAZZY D'AUVRECY;7.3;trot attele;GRA
93;sgdclassifier;17/02/2023;2;4;11.0;1;JAVA DU BAS BOSQ;6.7;trot attele;GRA
122;sgdclassifier;17/02/2023;2;5;4.0;1;JOYAU DE L'ITON;9.2;trot attele;GRA
124;sgdclassifier;17/02/2023;2;5;6.0;1;JACKPOT DE MAHEY;35.0;trot attele;GRA
128;sgdclassifier;17/02/2023;2;5;10.0;1;JANGO DU THANA;10.0;trot attele;GRA
95;sgdclassifier;17/02/2023;2;7;1.0;1;HYROPHARE;9.6;trot attele;GRA
110;sgdclassifier;17/02/2023;2;8;3.0;1;FILOU SMILING;8.5;trot attele;GRA
140;sgdclassifier;17/02/2023;3;1;3.0;1;EVIDENCE D'ELMA;2.7;trot attele;SON
166;sgdclassifier;17/02/2023;3;2;5.0;1;JAISY GES;7.8;trot attele;SON
172;sgdclassifier;17/02/2023;3;2;11.0;1;JOIA CASH;3.7;trot attele;SON
174;sgdclassifier;17/02/2023;3;2;13.0;1;JOVIAL VX;10.0;trot attele;SON
146;sgdclassifier;17/02/2023;3;3;1.0;1;INSTINT DE CLIDE;8.9;trot attele;SON
148;sgdclassifier;17/02/2023;3;3;3.0;1;GALLAHAN;8.3;trot attele;SON
178;sgdclassifier;17/02/2023;3;4;2.0;1;ISSY D'HEROINA;4.3;trot attele;SON
188;sgdclassifier;17/02/2023;3;4;12.0;1;JOPETAS SB;4.5;trot attele;SON
0;kneighborsclassifier;17/02/2023;4;1;1.0;1;ROYAUMONT;2.0;plat;CHA
2;kneighborsclassifier;17/02/2023;4;1;3.0;1;CENTRAL PARK WEST;3.1;plat;CHA
0;decisiontreeclassifier;17/02/2023;4;1;1.0;1;ROYAUMONT;2.0;plat;CHA
0;adaboostclassifier;17/02/2023;4;1;1.0;1;ROYAUMONT;2.0;plat;CHA
100;kneighborsclassifier;17/02/2023;4;2;1.0;1;DENVER CHOP;5.9;plat;CHA
103;kneighborsclassifier;17/02/2023;4;2;4.0;1;SAUTERNE;1.6;plat;CHA
103;decisiontreeclassifier;17/02/2023;4;2;4.0;1;SAUTERNE;1.6;plat;CHA
103;adaboostclassifier;17/02/2023;4;2;4.0;1;SAUTERNE;1.6;plat;CHA
46;sgdclassifier;17/02/2023;4;3;9.0;1;MOLLY WEASLEY;3.3;plat;CHA
47;sgdclassifier;17/02/2023;4;3;10.0;1;STELLAR JAY;5.8;plat;CHA
38;kneighborsclassifier;17/02/2023;4;3;1.0;1;LAKISSIMO;9.6;plat;CHA
39;kneighborsclassifier;17/02/2023;4;3;2.0;1;HOLLY COLOUR;15.0;plat;CHA
41;kneighborsclassifier;17/02/2023;4;3;4.0;1;HADLEIGH;8.4;plat;CHA
10;sgdclassifier;17/02/2023;4;4;4.0;1;BIENNE;7.9;plat;CHA
