date;reunion;course;hippo_code;hippo_nom;nom;numPmu;rapport;age;sexe;race;statut;oeilleres;deferre;indicateurInedit;musique;nombreCourses;nombreVictoires;nombrePlaces;nombrePlacesSecond;nombrePlacesTroisieme;ordreArrivee;distance;handicapDistance;gain_carriere;gain_victoires;gain_places;gain_annee_en_cours;gain_annee_precedente;placeCorde;handicapValeur;handicapPoids
2021-07-23;2;2;D27;BAD HARZBURG;LINNOVA;1;27.0;8;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;8p9p9p5p0p;66;10;11;6;5;5.0;2800;0;5610000;4097500;1512500;142500;725000;2;16.5;625
2021-07-23;2;2;D27;BAD HARZBURG;MONROE;2;19.0;4;FEMELLES;PUR-SANG;PARTANT;OEILLERES_CLASSIQUE;0;False;0p(20)7p4p1p;9;2;1;0;1;6.0;2800;0;610000;497500;112500;0;610000;1;16.0;615
2021-07-23;2;2;D27;BAD HARZBURG;NEXTWAVE;3;12.0;5;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;6p7p4p7p3p;33;4;12;5;7;2.0;2800;0;2174500;1065000;1109500;167000;1405000;3;15.5;610
2021-07-23;2;2;D27;BAD HARZBURG;LIKE ME;4;3.2;6;HONGRES;PUR-SANG;PARTANT;OEILLERES_CLASSIQUE;0;False;1p3p2p7p;21;2;5;2;3;3.0;2800;0;1203000;650000;553000;486000;389500;5;14.5;600
2021-07-23;2;2;D27;BAD HARZBURG;NORDGOLD;5;38.0;5;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;0p0p0p8p0p;22;2;2;1;1;1.0;2800;0;755500;400000;355500;0;300000;10;14.5;600
2021-07-23;2;2;D27;BAD HARZBURG;STAR OF ATHENA;6;3.8;6;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;2p1p1p3p;16;2;3;1;2;8.0;2800;0;932600;525000;407600;721000;178300;6;13.5;560
2021-07-23;2;2;D27;BAD HARZBURG;OVERBECK;7;11.0;6;HONGRES;PUR-SANG;PARTANT;OEILLERES_CLASSIQUE;0;False;8p4p7p4p7p;7;0;1;0;1;7.0;2800;0;150600;0;150600;50000;0;8;12.0;575
2021-07-23;2;2;D27;BAD HARZBURG;REDEMPTORIST;8;10.0;6;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;7p1p2p6p2p;19;2;7;4;3;4.0;2800;0;1107700;325000;782700;660500;165000;9;9.0;540
2021-07-23;2;2;D27;BAD HARZBURG;NAPSTON;9;8.4;6;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;2p7p8p5p;43;4;13;9;4;10.0;2800;0;2157500;815000;1342500;80000;757500;4;7.5;530
2021-07-23;2;2;D27;BAD HARZBURG;LARO;10;10.0;4;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;6p2p4p7p0p;11;0;1;1;0;9.0;2800;0;127000;0;127000;127000;0;7;4.0;525
2021-07-23;2;1;D27;BAD HARZBURG;QUEENS BEAUTY;1;21.0;6;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;5p7p0p7p9p;42;4;6;4;2;2.0;1200;0;2159600;1321600;838000;35000;588000;7;10.0;590
2021-07-23;2;1;D27;BAD HARZBURG;VINNIE'S WISH;2;13.0;6;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;6p3p6p0p1p;39;4;4;1;3;5.0;1200;0;1397500;797500;600000;580000;667500;9;10.0;610
2021-07-23;2;1;D27;BAD HARZBURG;CASINOMASTER;3;7.8;6;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;5p4p0p1p4p;65;8;9;4;5;9.0;1200;0;3579500;2460000;1119500;565000;462500;6;8.5;595
2021-07-23;2;1;D27;BAD HARZBURG;HOT HANNAH;4;3.0;7;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;4p3p6p4p1p;38;4;7;2;5;7.0;1200;0;1668400;775000;893400;475000;570000;1;8.0;540
2021-07-23;2;1;D27;BAD HARZBURG;TUO SOGNO;5;4.7;5;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;3p5p(20)8p8p;13;0;2;0;2;4.0;1200;0;275500;0;275500;100500;15000;3;7.5;585
2021-07-23;2;1;D27;BAD HARZBURG;KATIE BO KAT;6;10.0;4;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;5p5p3p4p2p;23;0;5;2;3;1.0;1200;0;509500;0;509500;427500;0;8;5.5;560
2021-07-23;2;1;D27;BAD HARZBURG;AGAMA;7;29.0;11;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;0p0p0p(20)0p;50;4;8;3;5;8.0;1200;0;3195000;1585000;1610000;0;45000;4;4.5;550
2021-07-23;2;1;D27;BAD HARZBURG;RATEEL;8;26.0;8;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;7p7p9p7p8p;98;7;20;8;12;6.0;1200;0;4884200;2456700;2427500;101000;418500;2;3.5;540
2021-07-23;2;1;D27;BAD HARZBURG;SUNBRIGHT;9;4.9;6;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;3p0p(20)0p0p;27;3;2;1;1;3.0;1200;0;686700;450000;236700;60000;534000;5;3.5;540
2021-07-23;2;4;D27;BAD HARZBURG;PAREIAS PRINZ;1;2.4;3;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;3p2p2p(20)4p;4;0;3;2;1;4.0;1200;0;1316500;0;1316500;1286500;30000;6;28.5;580
2021-07-23;2;4;D27;BAD HARZBURG;WE GET BY;2;5.2;3;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;3p0p4p5p7p;12;0;4;2;2;2.0;1200;0;1827800;0;1827800;1085000;742800;3;;560
2021-07-23;2;4;D27;BAD HARZBURG;PREMERO PASADO;3;12.0;3;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;5p5p3p8p3p;9;0;3;0;3;6.0;1200;0;463000;0;463000;328000;135000;2;17.0;575
2021-07-23;2;4;D27;BAD HARZBURG;MR MATTAI;4;23.0;3;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;6p;1;0;0;0;0;7.0;1200;0;0;0;0;0;0;1;;520
2021-07-23;2;4;D27;BAD HARZBURG;POWERSTOWN;5;19.0;3;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;6p4p9p6p;6;0;0;0;0;3.0;1200;0;75000;0;75000;51000;24000;4;16.0;570
2021-07-23;2;4;D27;BAD HARZBURG;LORIELLE;6;4.3;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;4p2p(20)8p;3;0;1;1;0;5.0;1200;0;132000;0;132000;132000;0;7;;560
2021-07-23;2;4;D27;BAD HARZBURG;WILD BALLERINA;7;6.1;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;5p6p5p(20)5p;5;0;0;0;0;1.0;1200;0;237500;0;237500;37500;200000;5;22.5;550
2021-07-23;2;5;D27;BAD HARZBURG;BEST'S BELLAGIO;1;12.0;5;MALES;PUR-SANG;PARTANT;OEILLERES_CLASSIQUE;0;False;9p9p0p0p0p;6;0;0;0;0;3.0;2000;0;0;0;0;0;0;3;3.5;575
2021-07-23;2;5;D27;BAD HARZBURG;AKTION;2;1.7;4;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;2p4p5p(20)4p;6;0;1;1;0;2.0;2000;0;185000;0;185000;125000;60000;4;14.0;565
2021-07-23;2;5;D27;BAD HARZBURG;DAMANDA PRIDE;3;3.3;4;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;2p7p;2;0;1;1;0;1.0;2000;0;170000;0;170000;170000;0;1;;565
2021-07-23;2;5;D27;BAD HARZBURG;BELLA SARAH;4;8.0;5;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;0p(20)0p0p;10;0;0;0;0;5.0;2000;0;200000;0;200000;0;0;5;5.5;555
2021-07-23;2;5;D27;BAD HARZBURG;DORIANA;5;13.0;4;FEMELLES;PUR-SANG;PARTANT;OEILLERES_CLASSIQUE;0;False;6p8p(20)0p0p;4;0;0;0;0;4.0;2000;0;0;0;0;0;0;2;;555
2021-07-23;2;3;D27;BAD HARZBURG;SABA STORM;1;10.0;3;MALES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;3p5p7p(20)8p;4;0;1;0;1;3.0;1550;0;105000;0;105000;105000;0;9;20.0;580
2021-07-23;2;3;D27;BAD HARZBURG;AUENSIR;2;13.0;3;MALES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;6p(20)4p;2;0;0;0;0;2.0;1550;0;30000;0;30000;0;30000;2;;575
2021-07-23;2;3;D27;BAD HARZBURG;SCIPIO;3;6.9;3;MALES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(20)0p2p;2;0;1;1;0;1.0;1550;0;120000;0;120000;0;120000;8;;575
2021-07-23;2;3;D27;BAD HARZBURG;SO FREE;4;22.0;3;MALES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;7p;1;0;0;0;0;8.0;1550;0;0;0;0;0;0;10;;575
2021-07-23;2;3;D27;BAD HARZBURG;COCO CONTES;5;3.0;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;2p5p3p4p2p;5;0;3;2;1;5.0;1550;0;366500;0;366500;366500;0;6;20.5;565
2021-07-23;2;3;D27;BAD HARZBURG;ABAYYAH;6;18.0;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;3p9p6p6p;4;0;1;0;1;6.0;1550;0;90000;0;90000;90000;0;5;13.5;560
2021-07-23;2;3;D27;BAD HARZBURG;SPEEDY VIEW;7;4.0;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;3p3p5p5p;4;0;2;0;2;4.0;1550;0;215000;0;215000;215000;0;3;19.5;560
2021-07-23;2;3;D27;BAD HARZBURG;LAVAND PARSI;8;12.0;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;5p;1;0;0;0;0;10.0;1550;0;0;0;0;0;0;1;;555
2021-07-23;2;3;D27;BAD HARZBURG;MARIECHE DANZ;9;26.0;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;0p;1;0;0;0;0;7.0;1550;0;0;0;0;0;0;4;;535
2021-07-23;2;3;D27;BAD HARZBURG;PALOMA;10;21.0;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;True;Inédite;0;0;0;0;0;9.0;1550;0;0;0;0;0;0;7;;525
2021-07-23;4;1;VIC;VICHY;SIR MAURICE;1;21.0;3;HONGRES;PUR-SANG;PARTANT;OEILLERES_CLASSIQUE;0;False;7p7p0p(20)5p7p5p4p2p7p;10;0;5;1;1;4.0;1400;0;1351300;0;1351300;0;1351300;5;33.5;580
2021-07-23;4;1;VIC;VICHY;TOTAL KNOCKOUT;2;4.3;3;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;0p0p5p8p2p1p(20)4p2p1p;13;3;6;2;1;1.0;1400;0;5752600;3275000;2477600;2205000;3547600;6;39.5;580
2021-07-23;4;1;VIC;VICHY;PROSPERO;3;11.0;3;MALES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;7p3p2p2p4p5p0p6p7p;11;0;5;2;1;6.0;1400;0;1170000;0;1170000;1170000;0;9;31.0;580
2021-07-23;4;1;VIC;VICHY;BUZZING;4;4.1;3;MALES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;6p5p5p1p1p;5;2;3;0;0;2.0;1400;0;2800000;2300000;500000;2800000;0;7;39.5;580
2021-07-23;4;1;VIC;VICHY;RISPETTA;5;22.0;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;8p2p0p8p4p7p;6;0;2;1;0;9.0;1400;0;340000;0;340000;340000;0;4;28.5;565
2021-07-23;4;1;VIC;VICHY;SAND GIRL;6;2.5;3;FEMELLES;PUR-SANG;PARTANT;OEILLERES_CLASSIQUE;0;False;3p(20)2p1p3p4p3p;6;1;5;1;3;3.0;1400;0;1810700;575000;1235700;308000;1502700;1;36.5;565
2021-07-23;4;1;VIC;VICHY;GREEN LANTERN;7;30.0;3;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;8p5p0p2p0p0p(20)9p7p4p;15;0;9;3;1;7.0;1400;0;2080300;0;2080300;290000;1790300;3;28.0;560
2021-07-23;4;1;VIC;VICHY;MUGURUZA;8;19.0;3;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;0p5p4p5p(20)1p4p1p;7;2;4;0;0;5.0;1400;0;1548800;1279200;269600;232400;1316400;8;;545
