date;reunion;course;hippo_code;hippo_nom;nom;numPmu;rapport;age;sexe;race;statut;oeilleres;deferre;indicateurInedit;musique;nombreCourses;nombreVictoires;nombrePlaces;nombrePlacesSecond;nombrePlacesTroisieme;ordreArrivee;distance;handicapDistance;gain_carriere;gain_victoires;gain_places;gain_annee_en_cours;gain_annee_precedente;placeCorde;handicapValeur;handicapPoids
2021-07-23;1;4;CAB;CABOURG;GALLICA DU VINOIS;1;12.0;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;2a0a1a5a8aDa2a0a(20)Da;28;3;13;4;2;0.0;2725;2725;3795000;1800000;1995000;1425000;1779000;1;0;0.0
2021-07-23;1;4;CAB;CABOURG;GUERRIERE DRY;2;4.9;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;2a0a(20)1a3aDaDaDa1a8a;17;4;4;2;2;0.0;2725;2725;3828000;2700000;1128000;475000;3078000;2;0;0.0
2021-07-23;1;4;CAB;CABOURG;GOLDIE STAR;3;11.0;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;Da5aDa2a(20)Da1a5aDaDa;22;3;11;3;0;0.0;2725;2725;3908000;2025000;1883000;550000;1118000;3;0;0.0
2021-07-23;1;4;CAB;CABOURG;GRAZZIA DU DAN;5;4.1;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;2a1aDa7aDaDa(20)Da4aDa;18;5;5;2;1;0.0;2725;2725;4140000;2970000;1170000;1023000;2577000;5;0;0.0
2021-07-23;1;4;CAB;CABOURG;GLOIRE ROYALE;6;8.8;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;7a1a3a9a4a0a4a2a9a6a;28;2;16;3;4;0.0;2725;2725;3631000;1395000;2236000;1804000;1020000;6;0;0.0
2021-07-23;1;4;CAB;CABOURG;GALAXIE DJALMATS;7;7.1;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;4aDa6a5a4aDa5a3a4a1a;19;2;12;2;4;0.0;2725;2725;3593000;1350000;2243000;1701000;1352000;7;0;0.0
2021-07-23;1;4;CAB;CABOURG;GENOVA MADRIK;8;82.0;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;4a0a5a6a0a7a5a7a0a3a;37;1;25;0;4;0.0;2725;2725;2524000;495000;2029000;721000;870000;8;0;0.0
2021-07-23;1;4;CAB;CABOURG;GAMELIA DUB'S;9;6.1;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;4a1a2a2a1a2aDa1a1a0a;35;10;17;5;4;0.0;2725;2725;3309800;2047700;1262100;2306400;771900;9;0;0.0
2021-07-23;1;4;CAB;CABOURG;GENTILLE HOLLANDIA;10;12.0;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;Da2a6a7aDa4a(20)DaDaDa;28;2;12;3;2;0.0;2725;2725;3565000;1215000;2350000;664000;1844000;10;0;0.0
2021-07-23;1;4;CAB;CABOURG;GOLDIE;11;182.0;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;8m0aDa(20)Dm9a9aDaDa1a;24;2;5;1;2;0.0;2725;2725;2264000;1440000;824000;0;2020000;11;0;0.0
2021-07-23;1;4;CAB;CABOURG;GRACE DE L'ECLAIR;12;29.0;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;5a3a7a8a4aDa5aDa6a2a;31;1;19;2;4;0.0;2725;2725;3471000;855000;2616000;1046000;458000;12;0;0.0
2021-07-23;1;4;CAB;CABOURG;GRACE DE MAI;13;82.0;5;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;8a0a4a7a0m7a4a4a6a6a;42;3;16;1;0;0.0;2725;2725;3435000;1710000;1725000;505000;1420000;13;0;0.0
2021-07-23;1;1;CAB;CABOURG;GAMAY DE L'ITON;1;9.5;5;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;0a1a2a5a3a4aDa0a7a4a;33;8;19;3;5;;2750;2750;16460000;9990000;6470000;5022000;8435000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;FRENCH MAN;2;6.3;6;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;1a0aDaDa2a1a1a3a1a4a;54;11;23;6;5;4.0;2750;2750;20236000;11925000;8311000;5652000;3215000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;FESTIF CHARMANT;3;28.0;6;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS;False;2a0a5a4a3a3a3a6a4a6a;50;4;38;11;7;7.0;2750;2750;22875000;5715000;17160000;4909000;9853000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;OLLE ROLS;4;105.0;8;HONGRES;TROTTEUR ETRANGER;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;0a0a8a8aDaDa0a3a2a6a;16;0;8;1;2;;2750;2750;22901500;0;3163000;2077000;1086000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;TJACKO ZAZ;5;2.9;9;HONGRES;TROTTEUR ETRANGER;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;Da2a1a1a3a6a1aDa9aDa;17;6;4;2;1;2.0;2750;2750;23668800;8955000;2361000;6716000;4600000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;GRAND ART;6;5.7;5;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;3a2a8aDa4a6a4a6a(20)9a;39;4;27;4;8;1.0;2750;2750;24085100;5918100;18167000;4737000;11918100;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;FAROUK B.R.;7;10.0;8;MALES;TROTTEUR ETRANGER;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;3a1a5a5a4a1a1a(20)2a1a;27;7;17;7;2;3.0;2750;2750;24106800;7965000;7273000;5581000;8667000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;FLECHE DU YUCCA;8;5.9;6;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;5a3a9a0a(20)1a1aDa2a1a;34;14;15;3;3;;2750;2775;39110000;24075000;15035000;1338000;16355000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;DOSTOIEVSKI;9;104.0;8;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;0a8a(20)4a9aDa6a0a2a1a;60;10;24;12;5;8.0;2750;2775;43175000;21285000;21890000;0;13702000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;BE ONE DES THIRONS;10;29.0;10;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;4aDaDa2a8aDa4a6a4a;96;17;50;16;10;5.0;2750;2775;44182000;21825000;22357000;2259000;8658000;0;0;0.0
2021-07-23;1;1;CAB;CABOURG;CASH DU RIB;11;26.0;9;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;7a5a1a8a2a7a1a2a8a9a;106;8;69;11;10;6.0;2750;2775;50980000;16470000;34510000;7490000;12129000;0;0;0.0
2021-07-23;1;6;CAB;CABOURG;FERGIE HIGHLAND;1;20.0;6;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;Da2a3a5a5a6a8a7a7a3a;50;5;26;3;6;0.0;2725;2725;6474000;3015000;3459000;1335000;2738000;1;0;0.0
2021-07-23;1;6;CAB;CABOURG;FEUILLE D'ERABLE;2;8.7;6;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;5a0a7aDa9a(20)4a0a6aDa;30;3;17;6;3;0.0;2725;2725;6462000;2070000;4392000;95000;977000;2;0;0.0
2021-07-23;1;6;CAB;CABOURG;FARANDOLE DES BOIS;3;45.0;6;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;0aDa0aDa8aDa4a2aDa4a;48;6;16;3;5;0.0;2725;2725;6290000;3780000;2510000;752000;2134000;3;0;0.0
2021-07-23;1;6;CAB;CABOURG;FELINE DE JANVILLE;4;2.3;6;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;3a4a0aDa6a8aDa1a5a8a;39;6;17;4;3;0.0;2725;2725;6370000;3825000;2545000;968000;2757000;4;0;0.0
