date;reunion;course;hippo_code;hippo_nom;nom;numPmu;rapport;age;sexe;race;statut;oeilleres;deferre;indicateurInedit;musique;nombreCourses;nombreVictoires;nombrePlaces;nombrePlacesSecond;nombrePlacesTroisieme;ordreArrivee;distance;handicapDistance;gain_carriere;gain_victoires;gain_places;gain_annee_en_cours;gain_annee_precedente;placeCorde;handicapValeur;handicapPoids
2021-07-23;1;2;CAB;CABOURG;CALL BOY DANOVER;1;86.0;9;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;4mDmDa0aDa5a6aDaDaDm;106;11;34;5;7;0.0;2750;2750;10964000;6255000;4709000;422000;1466000;0;0;650
2021-07-23;1;2;CAB;CABOURG;FASTER SYGA;2;7.1;6;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;2m7m5m1m2m1m2mDm3m7m;38;6;24;10;3;0.0;2750;2750;20920000;8685000;12235000;6428000;4888000;0;0;650
2021-07-23;1;2;CAB;CABOURG;CENTAURE GEDE;3;40.0;9;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;0a1mDa0a4a9m7a5a4a9a;74;11;34;7;4;0.0;2750;2750;21436000;13545000;7891000;2734000;2325000;0;0;550
2021-07-23;1;2;CAB;CABOURG;GOOD LUCK QUICK;4;15.0;5;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;DmDm5m2m3m2m1m4m(20)1m;25;8;12;4;3;0.0;2750;2750;22824000;13455000;9369000;11025000;8639000;0;0;650
2021-07-23;1;2;CAB;CABOURG;GUIDE MOI FORGAN;5;1.5;5;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;2m2m9a8a(20)2m1m1m2m1m;19;5;11;4;0;0.0;2750;2750;23538000;10755000;12783000;5000000;15918000;0;0;650
2021-07-23;1;2;CAB;CABOURG;DELTA FAC;6;83.0;8;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;7mDmDm0mDaDa(20)Da2m3m;65;10;24;5;4;0.0;2750;2775;25901000;17415000;8486000;90000;5758000;0;0;650
2021-07-23;1;2;CAB;CABOURG;EAST RIVER;7;76.0;7;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;8m8m0m0a2m1m0aDmDaDm;63;14;21;5;5;0.0;2750;2775;28447000;20205000;8242000;3640000;12169000;0;0;550
2021-07-23;1;2;CAB;CABOURG;DEGANAWIDAH;8;10.0;8;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;9aDa0aDa2m9a9a3a9a0a;123;12;46;16;8;0.0;2750;2775;29740000;10800000;18940000;4340000;6818000;0;0;650
2021-07-23;1;2;CAB;CABOURG;DYNAMITE MARCEAUX;9;14.0;8;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;4m4mDa4mDm2m4m6m4m;67;11;26;10;4;0.0;2750;2775;37381000;14490000;22891000;6632000;13114000;0;0;550
2021-07-23;1;2;CAB;CABOURG;BOSTON TERRIE;10;48.0;10;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;5m3mDaDm0m6m3m0a(20)8m;77;10;29;4;5;0.0;2750;2775;38569000;22725000;15844000;2184000;2691000;0;0;650
