date;reunion;course;hippo_code;hippo_nom;nom;numPmu;rapport;age;sexe;race;statut;oeilleres;deferre;indicateurInedit;musique;nombreCourses;nombreVictoires;nombrePlaces;nombrePlacesSecond;nombrePlacesTroisieme;ordreArrivee;distance;handicapDistance;gain_carriere;gain_victoires;gain_places;gain_annee_en_cours;gain_annee_precedente;placeCorde;handicapValeur;handicapPoids
2021-07-27;4;10;LSO;LES SABLES D OLONNE;GEMINEA;1;3.0;5;FEMELLES;AQPS;PARTANT;SANS_OEILLERES;0;False;4h7h5s(20)6h5h1h(19)7h;7;1;3;0;0;0;3800;0;1039200;624000;415200;233000;806200;0;52.0;700
2021-07-27;4;10;LSO;LES SABLES D OLONNE;GAMBADE GIL;3;41.0;5;FEMELLES;AQPS;PARTANT;SANS_OEILLERES;0;False;3h1p1p2p9p5p0p(20)0p9p;1;0;1;0;1;0;3800;0;182000;0;182000;182000;0;0;;680
2021-07-27;4;10;LSO;LES SABLES D OLONNE;HERRIA BANBOU;4;15.0;4;FEMELLES;AQPS;PARTANT;OEILLERES_AUSTRALIENNES;0;False;2h2h7p5p(20)6p;2;0;2;2;0;0;3800;0;576000;0;576000;576000;0;0;;670
2021-07-27;4;10;LSO;LES SABLES D OLONNE;HAUTE TENSION;5;1.7;4;FEMELLES;AQPS;PARTANT;SANS_OEILLERES;0;True;1p4p(20)2p2p3p2p4p;0;0;0;0;0;0;3800;0;0;0;0;0;0;0;;660
2021-07-27;4;10;LSO;LES SABLES D OLONNE;HELEN D'ALENE;6;7.2;4;FEMELLES;AQPS;PARTANT;SANS_OEILLERES;0;False;1s6s7h9h;4;1;1;0;0;0;3800;0;654000;624000;30000;654000;0;0;;660
2021-07-27;4;10;LSO;LES SABLES D OLONNE;HISTOIRE D'AMIS;7;30.0;4;FEMELLES;AQPS;PARTANT;SANS_OEILLERES;0;False;As;1;0;0;0;0;0;3800;0;0;0;0;0;0;0;;660
2021-07-27;4;9;LSO;LES SABLES D OLONNE;CHELLA SPEED;1;3.1;5;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;4s1h3h(20)Ah6sTs3h1h1h;9;3;3;0;2;0;4200;0;2967100;2126400;840700;1117500;1849600;0;54.5;700
2021-07-27;4;9;LSO;LES SABLES D OLONNE;KAP ET PAS CAP;2;5.4;8;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;6s(20)3s2h1h3h(19)1h(18)Th;15;3;7;1;5;0;4200;0;6726500;2976000;3750500;0;2024000;0;61.0;700
2021-07-27;4;9;LSO;LES SABLES D OLONNE;SLOW BLUES;3;7.1;5;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;4h(20)Ah1hAh1h(19)2h;6;2;2;1;0;0;4200;0;2925900;2270400;655500;199500;2270400;0;59.0;700
2021-07-27;4;9;LSO;LES SABLES D OLONNE;CYBOR DEL'RAIS;4;28.0;8;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;Ah(20)3hAh4h2h3h(19)2h5s;23;1;12;3;4;0;4200;0;3658500;960000;2698500;0;926500;0;49.5;690
2021-07-27;4;9;LSO;LES SABLES D OLONNE;DIAMANT BRUT;5;5.2;8;HONGRES;AQPS;PARTANT;OEILLERES_AUSTRALIENNES;0;False;7s8s2s(20)3s3s4s1s2s1s;26;6;15;6;3;0;4200;0;12690400;4320000;8370400;3330000;4172900;0;54.5;680
2021-07-27;4;9;LSO;LES SABLES D OLONNE;ELVIS DE BALME;6;6.7;7;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;(19)Ah(18)7h2h1s1h2h;6;2;3;2;0;0;4200;0;2973500;1536000;1437500;0;0;0;58.0;680
2021-07-27;4;9;LSO;LES SABLES D OLONNE;ZAPOROGUE;7;7.8;6;HONGRES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;Ah7h8h5p(20)Ah0h4h5h4h;20;2;7;0;0;0;4200;0;2497000;1728000;769000;55000;466500;0;49.0;680
2021-07-27;4;9;LSO;LES SABLES D OLONNE;FORCEUR DE VIF;8;71.0;6;HONGRES;AQPS;PARTANT;SANS_OEILLERES;0;False;8h9p(20)0h6h7h0p(19)AhAh;7;0;1;0;0;0;4200;0;134000;0;134000;0;134000;0;49.0;680
2021-07-27;4;9;LSO;LES SABLES D OLONNE;LAKE DIAMOND;9;142.0;7;FEMELLES;PUR-SANG;PARTANT;SANS_OEILLERES;0;False;AhTh7p;2;0;0;0;0;0;4200;0;0;0;0;0;0;0;;660
