date;reunion;course;hippo_code;hippo_nom;nom;numPmu;rapport;age;sexe;race;statut;oeilleres;deferre;indicateurInedit;musique;nombreCourses;nombreVictoires;nombrePlaces;nombrePlacesSecond;nombrePlacesTroisieme;ordreArrivee;distance;handicapDistance;gain_carriere;gain_victoires;gain_places;gain_annee_en_cours;gain_annee_precedente;placeCorde;handicapValeur;handicapPoids
2021-07-27;3;1;CAP;LA CAPELLE;DALTON NOA;1;2.5;8;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;2a2aDa4a1aDa0a4a(20)Da;74;18;31;8;7;6.0;2700;2700;9659500;5737500;3922000;918000;2872000;1;0;0
2021-07-27;3;1;CAP;LA CAPELLE;EOLE VERDERIE;2;42.0;7;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;8a0a0a6a9a6a4a6a3aDm;57;3;28;4;4;2.0;2700;2700;9614000;3825000;5789000;670000;679000;2;0;0
2021-07-27;3;1;CAP;LA CAPELLE;CATSOUS;3;9.6;9;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;6aDa3a3a1a1a2a1a4a3a;82;25;26;9;7;3.0;2700;2700;8775000;6095000;2650000;794000;1465000;3;0;0
2021-07-27;3;1;CAP;LA CAPELLE;DANEHILL DANCER;4;49.0;8;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;8aDa9a0a6a6aRa(19)8m5m;43;3;19;4;0;;2700;2700;9892000;3915000;5977000;98000;0;4;0;0
2021-07-27;3;1;CAP;LA CAPELLE;EMBLEME DE L'ITON;5;7.2;7;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;4aDa1a1a2a5a0a9a(20)6a;56;4;28;5;7;9.0;2700;2700;8226000;2655000;5571000;1338000;696000;5;0;0
2021-07-27;3;1;CAP;LA CAPELLE;DIAGANA SPORT;6;11.0;8;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;9a6a3a3aDa1a2a(20)5aDa;79;4;41;9;9;7.0;2700;2700;9943000;2250000;7693000;814000;1874000;6;0;0
2021-07-27;3;1;CAP;LA CAPELLE;COMPLICE;7;10.0;9;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;4a2a3aDa7a7a1a6a(20)4a;42;10;21;5;6;4.0;2700;2700;8980000;5940000;3040000;1384000;1399000;7;0;0
2021-07-27;3;1;CAP;LA CAPELLE;EPEE D'HAUFOR;8;3.7;7;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;1a5a6a1aDa1a3a1a2a;45;13;19;2;2;1.0;2700;2700;8417500;6487500;1930000;3131000;2422500;8;0;0
2021-07-27;3;1;CAP;LA CAPELLE;EMERAUDE VEBE;9;75.0;7;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;Da2a7aDa9a9a8a3a8a0a;69;5;38;8;9;8.0;2700;2700;8074500;2160000;5914500;474000;951500;9;0;0
2021-07-27;3;1;CAP;LA CAPELLE;DUC DE CLARBEC;10;45.0;8;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;4a5m9mDmDaDaDaDa3a2a;86;3;27;4;4;5.0;2700;2700;5264500;2250000;3014500;328000;329500;10;0;0
2021-07-27;3;3;CAP;LA CAPELLE;ICARE DU LOISIR;1;4.7;3;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;0;False;DaDa7a1a;4;1;1;0;0;3.0;2700;2700;603000;585000;18000;603000;0;1;0;0
2021-07-27;3;3;CAP;LA CAPELLE;INDIA SONG;2;2.7;3;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;0;False;1aDa;2;1;0;0;0;;2700;2700;540000;540000;0;540000;0;2;0;0
2021-07-27;3;3;CAP;LA CAPELLE;ISMET DU BIRKWALD;3;15.0;3;MALES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;0;False;6a1a;2;1;1;0;0;7.0;2700;2700;617000;585000;32000;617000;0;3;0;0
2021-07-27;3;3;CAP;LA CAPELLE;ILLIANGA DE NILE;4;23.0;3;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;0;False;3a3aDa(20)Da3a;5;0;3;0;3;;2700;2700;518000;0;518000;364000;154000;4;0;0
2021-07-27;3;3;CAP;LA CAPELLE;IMMY FRA MALOU;5;24.0;3;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;0;False;6a2a3a7a4a9a(20)1a2a;8;1;6;2;1;;2700;2700;631500;33600;597900;583500;48000;5;0;0
2021-07-27;3;3;CAP;LA CAPELLE;ISA CATZ;6;11.0;3;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;0;False;2a4a(20)Da5a;4;0;3;1;0;2.0;2700;2700;527000;0;527000;462000;65000;6;0;0
