date;reunion;course;hippo_code;hippo_nom;nom;numPmu;rapport;age;sexe;race;statut;oeilleres;deferre;indicateurInedit;musique;nombreCourses;nombreVictoires;nombrePlaces;nombrePlacesSecond;nombrePlacesTroisieme;ordreArrivee;distance;handicapDistance;gain_carriere;gain_victoires;gain_places;gain_annee_en_cours;gain_annee_precedente;placeCorde;handicapValeur;handicapPoids
2021-07-27;3;2;CAP;LA CAPELLE;GENERAL LEE (GER);1;8.0;8;HONGRES;TROTTEUR ETRANGER;PARTANT;SANS_OEILLERES;;False;1a4mDa4a5a4a;2;0;1;0;0;2.0;2750;2750;6240400;0;192000;192000;0;0;0;550
2021-07-27;3;2;CAP;LA CAPELLE;FALCON JET;2;3.4;6;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;4m2m2m1m1mDa2aDa2a5a;32;9;9;5;1;1.0;2750;2750;7312000;4980000;2332000;3975000;1530000;0;0;570
2021-07-27;3;2;CAP;LA CAPELLE;ETINCELLE DE FEU;3;45.0;7;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;6mDa0a0m5mDm2mDa8m7m;61;6;15;4;2;6.0;2750;2750;8329000;5130000;3199000;599000;352000;0;0;550
2021-07-27;3;2;CAP;LA CAPELLE;CADMEA;4;26.0;9;FEMELLES;TROTTEUR FRANCAIS;NON_PARTANT;SANS_OEILLERES;;False;0aDmDa(20)0aDm5m4m0mDm;92;8;27;3;5;;2750;2750;9560500;4950000;4610500;0;233000;0;0;550
2021-07-27;3;2;CAP;LA CAPELLE;CEMOI DE NAVARY;5;12.0;9;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;9a0a(20)8m3m4m3m2m5mDm;73;5;39;5;6;4.0;2750;2750;10876000;3735000;7141000;0;1513000;0;0;550
2021-07-27;3;2;CAP;LA CAPELLE;DEESSE DE FOOT;6;26.0;8;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;9aDa5mDa7mDa3aDaDm;93;2;43;7;7;5.0;2750;2750;12237000;3735000;8502000;398000;1342000;0;0;550
2021-07-27;3;2;CAP;LA CAPELLE;DANCER FOR MONEY;7;1.6;8;HONGRES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;2m1m1m4m5m2m1m5mDmDm;59;8;26;5;3;3.0;2750;2750;12385400;8010000;4375400;5578000;126000;0;0;570
2021-07-27;5;6;CAB;CABOURG;HOLA JET;1;5.4;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;5aDa;2;0;1;0;0;0.0;2750;2750;75000;0;75000;75000;0;0;0;610
2021-07-27;5;6;CAB;CABOURG;HAVANE;2;147.0;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;Dm8a6m0a4a2m5m4mDa;12;0;5;1;0;0.0;2750;2750;656000;0;656000;656000;0;0;0;610
2021-07-27;5;6;CAB;CABOURG;HANIELLE CREPIN;3;13.0;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;DmDmDm(20)1m2m;5;1;1;1;0;0.0;2750;2750;1020000;720000;300000;0;1020000;0;0;610
2021-07-27;5;6;CAB;CABOURG;HELICE DE POULINE;4;88.0;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;4m4m5m8aDa7a9a1a(20)Da;11;1;5;1;0;0.0;2750;2750;1188000;540000;648000;913000;275000;0;0;610
2021-07-27;5;6;CAB;CABOURG;HAWAI D'OYSE;5;31.0;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;4m8m4mDm1m0mDm(20)Dm5m;15;1;5;1;0;0.0;2750;2750;1439000;540000;899000;772000;667000;0;0;610
2021-07-27;5;6;CAB;CABOURG;HAVANA DE NILREM;6;10.0;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;3m8m1m1m(20)8mDa8mDmDm;15;2;4;0;2;0.0;2750;2750;1608000;1080000;528000;1318000;290000;0;0;610
2021-07-27;5;6;CAB;CABOURG;HERA DU BOIS MORIN;7;10.0;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;Dm0mDm1m(20)9mDm8m2m2m;16;1;6;2;1;0.0;2750;2750;1710000;675000;1035000;675000;1035000;0;0;610
2021-07-27;5;6;CAB;CABOURG;HEROINE DE FLEUR;8;2.8;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_POSTERIEURS;False;9aDm3m1m1mDaDa3a;8;2;2;0;2;0.0;2750;2750;1739000;1305000;434000;1739000;0;0;0;610
2021-07-27;5;6;CAB;CABOURG;HOT MAMA;9;49.0;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;;False;Dm4mDmDa7aDa8a9a(20)Dm;22;1;8;2;1;0.0;2750;2750;1873000;720000;1153000;154000;1637000;0;0;610
2021-07-27;5;6;CAB;CABOURG;HAPPY SHANNON;10;88.0;4;FEMELLES;TROTTEUR FRANCAIS;PARTANT;SANS_OEILLERES;DEFERRE_ANTERIEURS_POSTERIEURS;False;2m9a7a4m3a3m6m4a4m4a;26;0;20;1;4;0.0;2750;2750;1924000;0;1924000;1247000;677000;0;0;610
